国家/地区,点击次数,展示,点击率,排名
西班牙,2,20,10%,9.9
英国,2,13,15.38%,9.15
印度,2,10,20%,24.6
葡萄牙,2,5,40%,7.8
韩国,2,4,50%,5.75
比利时,2,4,50%,6.25
美国,1,41,2.44%,19.88
菲律宾,1,9,11.11%,26.44
澳大利亚,1,8,12.5%,9.75
加拿大,1,8,12.5%,12.62
墨西哥,1,7,14.29%,18.86
克罗地亚,1,6,16.67%,15.17
埃及,1,4,25%,7.75
罗马尼亚,1,4,25%,9.25
波兰,1,3,33.33%,7.33
法国,1,3,33.33%,10.67
印度尼西亚,1,3,33.33%,25.67
南非,1,2,50%,25.5
匈牙利,1,1,100%,135
意大利,0,5,0%,8
巴西,0,5,0%,13
日本,0,4,0%,7.5
德国,0,3,0%,6.33
越南,0,3,0%,15
希腊,0,2,0%,3
伊拉克,0,2,0%,3
马来西亚,0,2,0%,5.5
智利,0,2,0%,7.5
中国,0,2,0%,7.5
卡塔尔,0,2,0%,9
爱沙尼亚,0,2,0%,13
保加利亚,0,2,0%,15.5
孟加拉,0,2,0%,16
俄罗斯,0,1,0%,2
津巴布韦,0,1,0%,2
新西兰,0,1,0%,5
斯里兰卡,0,1,0%,7
沙特阿拉伯,0,1,0%,8
坦桑尼亚,0,1,0%,8
爱尔兰,0,1,0%,18
乌克兰,0,1,0%,26
