排名靠前的网页,点击次数,展示,点击率,排名
https://www.releasematch.com/minions-monsters/,18,126,14.29%,11.96
https://www.releasematch.com/avatar-fire-and-ash/,3,7,42.86%,39.43
https://www.releasematch.com/off-campus/s1e1/,1,16,6.25%,19.19
https://www.releasematch.com/the-punisher-one-last-kill/,1,8,12.5%,21
https://www.releasematch.com/pussycat-pussycat-i-love-you/,1,4,25%,14
https://www.releasematch.com/blast/,1,3,33.33%,2.67
https://www.releasematch.com/avatar-aang-the-last-airbender/,0,20,0%,18.6
https://www.releasematch.com/swapped/,0,7,0%,14.86
https://www.releasematch.com/the-dark-knight-2008/,0,6,0%,33.83
https://www.releasematch.com/catalog/page/3/,0,5,0%,37.4
https://www.releasematch.com/goat/,0,4,0%,8.75
https://www.releasematch.com/the-wandering-earth-2019/,0,4,0%,20.5
https://www.releasematch.com/trust/dmca/,0,4,0%,31.5
https://www.releasematch.com/lord-of-the-rings-fellowship-2001/,0,3,0%,24.67
https://www.releasematch.com/the-polygamist/s1e1/,0,3,0%,25
https://www.releasematch.com/भत-बगल/,0,3,0%,27.33
https://www.releasematch.com/劇場版鬼滅の刃無限城編-第一章-猗窩座再来/,0,3,0%,28.33
https://www.releasematch.com/three-body-problem/s1e1/,0,3,0%,38.33
https://www.releasematch.com/chum/,0,2,0%,4
https://www.releasematch.com/enola-holmes-3/,0,2,0%,7.5
https://www.releasematch.com/the-untamed/s1e1/,0,2,0%,10
https://www.releasematch.com/el-mal/,0,2,0%,15
https://www.releasematch.com/trust/how-matching-works/,0,2,0%,30.5
https://www.releasematch.com/midnight-matinee/,0,2,0%,36
https://www.releasematch.com/tom-clancys-jack-ryan-ghost-war/,0,2,0%,36
https://www.releasematch.com/law-order-special-victims-unit/s1e1/,0,2,0%,47.5
https://www.releasematch.com/whiplash/,0,1,0%,2
https://www.releasematch.com/the-bear/s1e1/,0,1,0%,16
https://www.releasematch.com/zootopia-2/,0,1,0%,17
https://www.releasematch.com/the-matrix-1999/,0,1,0%,19
https://www.releasematch.com/voicemails-for-isabelle/,0,1,0%,19
https://www.releasematch.com/law-order/s1e1/,0,1,0%,23
https://www.releasematch.com/sesame-street/s1e1/,0,1,0%,25
https://www.releasematch.com/breaking-bad/s5e6/,0,1,0%,28
https://www.releasematch.com/trust/speed-and-grab/,0,1,0%,32
https://www.releasematch.com/lord-of-the-rings-return-of-the-king-2003/,0,1,0%,33
https://www.releasematch.com/spider-man-brand-new-day/,0,1,0%,35
https://www.releasematch.com/fight-club-1999/,0,1,0%,45
